ENSSSCG00000018060	insdc
ENSSSCG00000018061	insdc
ENSSSCG00000018062	insdc
ENSSSCG00000018063	insdc
ENSSSCG00000018064	insdc
ENSSSCG00000018065	ND1
ENSSSCG00000018066	insdc
ENSSSCG00000018067	insdc
ENSSSCG00000018068	insdc
ENSSSCG00000018069	ND2
ENSSSCG00000018070	insdc
ENSSSCG00000018071	insdc
ENSSSCG00000018072	insdc
ENSSSCG00000018073	insdc
ENSSSCG00000018074	insdc
ENSSSCG00000018075	COX1
ENSSSCG00000018076	insdc
ENSSSCG00000018077	insdc
ENSSSCG00000018078	COX2
ENSSSCG00000018079	insdc
ENSSSCG00000018080	ATP8
ENSSSCG00000018081	ATP6
ENSSSCG00000018082	COX3
ENSSSCG00000018083	insdc
ENSSSCG00000018084	ND3
ENSSSCG00000018085	insdc
ENSSSCG00000018086	ND4L
ENSSSCG00000018087	ND4
ENSSSCG00000018088	insdc
ENSSSCG00000018089	insdc
ENSSSCG00000018090	insdc
ENSSSCG00000018091	ND5
ENSSSCG00000018092	ND6
ENSSSCG00000018093	insdc
ENSSSCG00000018094	CYTB
ENSSSCG00000018095	insdc
ENSSSCG00000018096	insdc
